test
test 2
test 3
model: 1000, 0.5, 32 begin
Epoch 12: train loss 2.184436798095703, test loss 1.9570800065994263, adv 0.033610176889662835, acc 0.4758771929824561
Epoch 13: train loss 2.21107816696167, test loss 1.9493197202682495, adv 0.03322605389541089, acc 0.4961622807017544
Epoch 14: train loss 1.9090105295181274, test loss 1.8034754991531372, adv 0.04059562760957891, acc 0.5127467105263158
Epoch 15: train loss 1.3976154327392578, test loss 1.7268532514572144, adv 0.03519654927072213, acc 0.5289199561403509
Epoch 16: train loss 1.375813364982605, test loss 1.6827038526535034, adv 0.03507733364227006, acc 0.5354989035087719
Epoch 17: train loss 1.5227670669555664, test loss 1.7430346012115479, adv 0.042987107744013264, acc 0.5259046052631579
Epoch 18: train loss 1.4072706699371338, test loss 1.6998162269592285, adv 0.04379601869535099, acc 0.5367324561403509
Epoch 19: train loss 1.4519684314727783, test loss 1.6685549020767212, adv 0.04964533716227604, acc 0.5500274122807017
model: 50000, 1, 64 begin
Epoch 0: train loss 4.367860794067383, test loss 4.400550365447998, adv 0.006032018245988535, acc 0.046463815789473686
Epoch 1: train loss 4.249929904937744, test loss 4.305243492126465, adv 0.00770893599393363, acc 0.046463815789473686
Epoch 2: train loss 4.339722633361816, test loss 4.305046558380127, adv 0.0008751743619989094, acc 0.046463815789473686
Epoch 3: train loss 4.142502307891846, test loss 4.306667327880859, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 4: train loss 4.290933609008789, test loss 4.307387351989746, adv -0.0003029393454286877, acc 0.046463815789473686
Epoch 5: train loss 4.218192100524902, test loss 4.306910037994385, adv 0.004685832443970139, acc 0.046463815789473686
Epoch 6: train loss 4.513981819152832, test loss 4.305727958679199, adv -0.00847981496564254, acc 0.046463815789473686
Epoch 7: train loss 4.358649253845215, test loss 4.306955814361572, adv -0.0010806933288396436, acc 0.046463815789473686
Epoch 8: train loss 4.312067985534668, test loss 4.306522846221924, adv 0.0029376778726430963, acc 0.046463815789473686
Epoch 9: train loss 4.450796127319336, test loss 4.307834625244141, adv -0.008413112724447225, acc 0.046463815789473686
Epoch 10: train loss 4.334959506988525, test loss 4.308234214782715, adv 0.0028876511917467207, acc 0.046463815789473686
Epoch 11: train loss 4.247511386871338, test loss 4.307547569274902, adv 0.002703488644235974, acc 0.046463815789473686
Epoch 12: train loss 4.382892608642578, test loss 4.30596399307251, adv -0.0051316842666966345, acc 0.046463815789473686
Epoch 13: train loss 4.181970119476318, test loss 4.3071608543396, adv 0.007842340476324206, acc 0.046463815789473686
Epoch 14: train loss 4.273866653442383, test loss 4.307648658752441, adv 0.007129679688816504, acc 0.046463815789473686
Epoch 15: train loss 4.194065570831299, test loss 4.305865287780762, adv 0.00770893599393363, acc 0.046463815789473686
Epoch 16: train loss 4.112717151641846, test loss 4.309725761413574, adv 0.007692260433634801, acc 0.046463815789473686
Epoch 17: train loss 4.3303046226501465, test loss 4.307319641113281, adv -0.0002195615439345433, acc 0.046463815789473686
Epoch 18: train loss 4.251546859741211, test loss 4.307022571563721, adv -0.0003196149057275166, acc 0.046463815789473686
Epoch 19: train loss 4.319796085357666, test loss 4.307938098907471, adv 0.002837624510850234, acc 0.046463815789473686
model: 50000, 2, 64 begin
Epoch 0: train loss 4.334819793701172, test loss 4.357790470123291, adv 0.013505155966222926, acc 0.046463815789473686
Epoch 1: train loss 4.410436630249023, test loss 4.30694580078125, adv 0.002837624510850234, acc 0.046463815789473686
Epoch 2: train loss 4.269976615905762, test loss 4.305099010467529, adv -0.00023623710423337219, acc 0.046463815789473686
Epoch 3: train loss 4.302127838134766, test loss 4.3050971031188965, adv -0.0003196149057275166, acc 0.046463815789473686
Epoch 4: train loss 4.197047233581543, test loss 4.305978298187256, adv 0.007675584873335972, acc 0.046463815789473686
Epoch 5: train loss 4.17168664932251, test loss 4.306546211242676, adv 0.007725611554232459, acc 0.046463815789473686
Epoch 6: train loss 4.314922332763672, test loss 4.305819034576416, adv 0.0029043267520455496, acc 0.046463815789473686
Epoch 7: train loss 4.245550632476807, test loss 4.305906772613525, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 8: train loss 4.37565803527832, test loss 4.306264400482178, adv -0.0031859096781441387, acc 0.046463815789473686
Epoch 9: train loss 4.228927135467529, test loss 4.30670690536499, adv 0.00770893599393363, acc 0.046463815789473686
Epoch 10: train loss 4.386852741241455, test loss 4.306334018707275, adv -0.003093170158587566, acc 0.046463815789473686
Epoch 11: train loss 4.448230743408203, test loss 4.307682037353516, adv -0.008529841646539027, acc 0.046463815789473686
Epoch 12: train loss 4.376429557800293, test loss 4.306787014007568, adv -0.0010806933288396436, acc 0.046463815789473686
Epoch 13: train loss 4.367969512939453, test loss 4.306602954864502, adv 0.002954353432941925, acc 0.046463815789473686
Epoch 14: train loss 4.11629056930542, test loss 4.307262897491455, adv 0.007666223155273488, acc 0.046463815789473686
Epoch 15: train loss 4.254705905914307, test loss 4.306786060333252, adv -0.0003029393454286877, acc 0.046463815789473686
Epoch 16: train loss 4.513123989105225, test loss 4.310249328613281, adv -0.008429788284746054, acc 0.046463815789473686
Epoch 17: train loss 4.105839252471924, test loss 4.307765960693359, adv 0.007682898715572317, acc 0.046463815789473686
Epoch 18: train loss 4.312743663787842, test loss 4.307332992553711, adv 0.0028876511917467207, acc 0.046463815789473686
Epoch 19: train loss 4.243077754974365, test loss 4.306884765625, adv 0.003855711350146951, acc 0.046463815789473686
model: 50000, 5, 64 begin
Epoch 0: train loss 4.4888997077941895, test loss 4.5005106925964355, adv 0.007916649113445307, acc 0.046463815789473686
Epoch 1: train loss 4.4077301025390625, test loss 4.403606414794922, adv 0.007766276517066406, acc 0.046463815789473686
Epoch 2: train loss 4.365411758422852, test loss 4.34400749206543, adv 0.007749600956767577, acc 0.046463815789473686
Epoch 3: train loss 4.2013163566589355, test loss 4.31829309463501, adv 0.012447428102005276, acc 0.046463815789473686
Epoch 4: train loss 4.371466159820557, test loss 4.311269283294678, adv 0.006862139339811668, acc 0.046463815789473686
Epoch 5: train loss 4.297357082366943, test loss 4.311357498168945, adv 0.007792313795427719, acc 0.046463815789473686
Epoch 6: train loss 4.34181022644043, test loss 4.308743953704834, adv 0.003839035789848122, acc 0.046463815789473686
Epoch 7: train loss 4.3322577476501465, test loss 4.36612606048584, adv 0.011605897414293465, acc 0.046463815789473686
Epoch 8: train loss 4.400980472564697, test loss 4.308764934539795, adv 0.006798216358666176, acc 0.046463815789473686
Epoch 9: train loss 4.315239429473877, test loss 4.305298805236816, adv 0.006745849248254054, acc 0.046463815789473686
Epoch 10: train loss 4.186768531799316, test loss 4.308367729187012, adv 0.011889235662528752, acc 0.046875
Epoch 11: train loss 4.351380825042725, test loss 4.3016862869262695, adv 0.0008162247935741274, acc 0.046463815789473686
Epoch 12: train loss 4.3391008377075195, test loss 4.310937881469727, adv 0.0008584988017000805, acc 0.046463815789473686
Epoch 13: train loss 4.103775501251221, test loss 4.305852890014648, adv 0.007732925396468748, acc 0.046463815789473686
Epoch 14: train loss 4.298564910888672, test loss 4.308499336242676, adv 0.002954353432941925, acc 0.046463815789473686
Epoch 15: train loss 4.13244104385376, test loss 4.301088809967041, adv 0.008020505673201117, acc 0.046463815789473686
Epoch 16: train loss 4.276264190673828, test loss 4.312483310699463, adv 0.0029210023123443785, acc 0.049342105263157895
Epoch 17: train loss 4.467084884643555, test loss 4.303335189819336, adv -0.006539160066655447, acc 0.05180921052631579
Epoch 18: train loss 4.143214225769043, test loss 4.300260066986084, adv 0.007792313795427719, acc 0.046600877192982455
Epoch 19: train loss 4.348143577575684, test loss 4.316232681274414, adv 0.0008418232414012516, acc 0.046463815789473686
model: 100000, 0.5, 64 begin
Epoch 0: train loss 4.368730545043945, test loss 4.252808570861816, adv 0.0030568935010953924, acc 0.04906798245614035
Epoch 1: train loss 3.8050761222839355, test loss 3.997429370880127, adv 0.015618710095676724, acc 0.06976425438596491
Epoch 2: train loss 3.6070826053619385, test loss 3.7683298587799072, adv 0.012268824074594176, acc 0.11609100877192982
Epoch 3: train loss 3.1286544799804688, test loss 3.353506326675415, adv 0.004687880319796278, acc 0.22149122807017543
Epoch 4: train loss 3.028212547302246, test loss 2.9186508655548096, adv -0.0025030893669606424, acc 0.28878837719298245
Epoch 5: train loss 2.4858944416046143, test loss 2.545503854751587, adv 0.003702705770562975, acc 0.3393640350877193
Epoch 6: train loss 2.356667995452881, test loss 2.2930967807769775, adv 0.009120361268699972, acc 0.4041940789473684
Epoch 7: train loss 1.8866709470748901, test loss 2.1274774074554443, adv 0.010149272594506598, acc 0.4536732456140351
Epoch 8: train loss 1.8100769519805908, test loss 2.004960298538208, adv 0.014497644357692518, acc 0.48122258771929827
Epoch 9: train loss 2.186274528503418, test loss 1.9073035717010498, adv 0.028919663586661426, acc 0.5050712719298246
Epoch 10: train loss 1.4187241792678833, test loss 1.7831950187683105, adv 0.017767955775243816, acc 0.5213815789473685
Epoch 11: train loss 1.5583082437515259, test loss 1.7447184324264526, adv 0.03623730902095157, acc 0.5296052631578947
Epoch 12: train loss 1.251316785812378, test loss 1.6584762334823608, adv 0.029187935319889946, acc 0.549890350877193
Epoch 13: train loss 1.5486907958984375, test loss 1.5936031341552734, adv 0.03876687449680771, acc 0.5662006578947368
Epoch 14: train loss 1.5521340370178223, test loss 1.5826228857040405, adv 0.04539292300923059, acc 0.5627741228070176
Epoch 15: train loss 1.3866205215454102, test loss 1.5321052074432373, adv 0.04815448356082308, acc 0.573327850877193
Epoch 16: train loss 1.2065715789794922, test loss 1.4998650550842285, adv 0.048575029489411836, acc 0.5736019736842105
Epoch 17: train loss 1.445266604423523, test loss 1.502838373184204, adv 0.053117510625550035, acc 0.5790844298245614
Epoch 18: train loss 1.4302740097045898, test loss 1.4898680448532104, adv 0.05894693544159224, acc 0.5830592105263158
Epoch 19: train loss 1.0198001861572266, test loss 1.4582070112228394, adv 0.057143341946114035, acc 0.5851151315789473
model: 100000, 1, 64 begin
Epoch 0: train loss 4.3804144859313965, test loss 4.297191143035889, adv -0.0032154576007789037, acc 0.046463815789473686
Epoch 1: train loss 4.2391886711120605, test loss 4.250351428985596, adv 0.004022320676290603, acc 0.05537280701754386
Epoch 2: train loss 4.0121588706970215, test loss 4.123158931732178, adv 0.006999054466475696, acc 0.0644188596491228
Epoch 3: train loss 4.172024250030518, test loss 3.9451048374176025, adv -0.0019037931341159275, acc 0.10526315789473684
Epoch 4: train loss 3.686403274536133, test loss 3.8691134452819824, adv 0.017825296298376703, acc 0.1049890350877193
Epoch 5: train loss 3.518188953399658, test loss 3.5573487281799316, adv 5.2659664101561976e-05, acc 0.14884868421052633
Epoch 6: train loss 3.450222969055176, test loss 3.367182970046997, adv 0.006129146070886937, acc 0.18626644736842105
Epoch 7: train loss 3.1906354427337646, test loss 3.1369900703430176, adv 0.010089006534479195, acc 0.22478070175438597
Epoch 8: train loss 2.858839988708496, test loss 2.9146668910980225, adv 0.001962011318317136, acc 0.2738486842105263
Epoch 9: train loss 2.870598793029785, test loss 2.7643349170684814, adv 0.008207447480761632, acc 0.31537828947368424
Epoch 10: train loss 2.6642720699310303, test loss 2.581881284713745, adv 0.011292133582355035, acc 0.34676535087719296
Epoch 11: train loss 2.364166498184204, test loss 2.4574997425079346, adv 0.01399489084236738, acc 0.37006578947368424
Epoch 12: train loss 2.0871193408966064, test loss 2.3516929149627686, adv 0.011351229427624565, acc 0.38651315789473684
Epoch 13: train loss 2.2222554683685303, test loss 2.2889034748077393, adv 0.020181669990076645, acc 0.4088541666666667
Epoch 14: train loss 1.9973711967468262, test loss 2.2167470455169678, adv 0.018609047632421438, acc 0.42543859649122806
Epoch 15: train loss 1.6631685495376587, test loss 2.130007743835449, adv 0.010161852403153038, acc 0.44750548245614036
Epoch 16: train loss 1.9276623725891113, test loss 2.0430281162261963, adv 0.0135287065382238, acc 0.46641995614035087
Epoch 17: train loss 2.290341854095459, test loss 2.0314652919769287, adv 0.027219341543559983, acc 0.46847587719298245
Epoch 18: train loss 1.9113808870315552, test loss 1.9497945308685303, adv 0.021272602698047205, acc 0.48273026315789475
Epoch 19: train loss 1.490127444267273, test loss 1.9927465915679932, adv 0.01132826396300246, acc 0.4720394736842105
model: 100000, 2, 64 begin
Epoch 0: train loss 4.296362400054932, test loss 4.3777289390563965, adv 0.00915810069463946, acc 0.03358004385964912
Epoch 1: train loss 4.286474227905273, test loss 4.382542610168457, adv 0.013792882519800043, acc 0.024396929824561403
Epoch 2: train loss 4.2494096755981445, test loss 4.286319732666016, adv 0.002972199207998627, acc 0.06030701754385965
Epoch 3: train loss 4.411080837249756, test loss 4.336433410644531, adv -0.0011473955700349592, acc 0.0390625
Epoch 4: train loss 4.307103157043457, test loss 4.296266078948975, adv -0.003121694143309206, acc 0.06373355263157894
Epoch 5: train loss 4.177920341491699, test loss 4.279962539672852, adv 0.007313403405793006, acc 0.06962719298245613
Epoch 6: train loss 4.241179943084717, test loss 4.174598693847656, adv -0.007096328568218846, acc 0.08813048245614036
Epoch 7: train loss 3.9020886421203613, test loss 4.007933616638184, adv -0.007961409827931643, acc 0.09073464912280702
Epoch 8: train loss 3.832049608230591, test loss 3.913233757019043, adv -0.00941174474339529, acc 0.09923245614035088
Epoch 9: train loss 3.5491843223571777, test loss 3.8228869438171387, adv -0.0018539127300642444, acc 0.11101973684210527
Epoch 10: train loss 3.5214133262634277, test loss 3.735470771789551, adv -0.003431362223595247, acc 0.12088815789473684
Epoch 11: train loss 3.730786085128784, test loss 3.6031129360198975, adv -0.005532629098092046, acc 0.14131030701754385
Epoch 12: train loss 3.518345832824707, test loss 3.4555530548095703, adv -0.0010928343069520619, acc 0.1679002192982456
Epoch 13: train loss 3.364394187927246, test loss 3.328141450881958, adv -0.005114862429553002, acc 0.17996162280701755
Epoch 14: train loss 3.3854925632476807, test loss 3.2696852684020996, adv 0.00454438273511959, acc 0.19956140350877194
Epoch 15: train loss 3.2078943252563477, test loss 3.1833932399749756, adv -0.0013356538691980946, acc 0.21957236842105263
Epoch 16: train loss 3.1522216796875, test loss 3.106900215148926, adv 0.009880562030743945, acc 0.24287280701754385
Epoch 17: train loss 3.122260093688965, test loss 3.0343902111053467, adv 0.004566031708139073, acc 0.25233004385964913
Epoch 18: train loss 3.123276472091675, test loss 2.9959492683410645, adv 0.009864032747289753, acc 0.27069627192982454
Epoch 19: train loss 2.5666725635528564, test loss 2.913344383239746, adv 0.0060646379823625085, acc 0.2831688596491228
model: 100000, 5, 64 begin
Epoch 0: train loss 4.521329879760742, test loss 4.516396522521973, adv 0.0033427184556910072, acc 0.03358004385964912
Epoch 1: train loss 4.375732421875, test loss 4.400481224060059, adv 0.012079688114362719, acc 0.046463815789473686
Epoch 2: train loss 4.414689540863037, test loss 4.3279709815979, adv 0.006862139339811668, acc 0.046463815789473686
Epoch 3: train loss 4.474754810333252, test loss 4.309341907501221, adv -0.0011473955700349592, acc 0.046463815789473686
Epoch 4: train loss 4.2314276695251465, test loss 4.306002140045166, adv 0.007692260433634801, acc 0.046463815789473686
Epoch 5: train loss 4.24935245513916, test loss 4.305156707763672, adv 0.007692260433634801, acc 0.046463815789473686
Epoch 6: train loss 4.460364818572998, test loss 4.3046135902404785, adv -0.008446463845044883, acc 0.046463815789473686
Epoch 7: train loss 4.190959453582764, test loss 4.305022239685059, adv 0.007725611554232459, acc 0.046463815789473686
Epoch 8: train loss 4.383951663970947, test loss 4.306506633758545, adv -0.0010473422082419859, acc 0.046463815789473686
Epoch 9: train loss 4.1261467933654785, test loss 4.3051018714904785, adv 0.007649547594974659, acc 0.046463815789473686
Epoch 10: train loss 4.169284343719482, test loss 4.304720401763916, adv 0.007758962674830061, acc 0.046463815789473686
Epoch 11: train loss 4.2726149559021, test loss 4.305175304412842, adv -0.0003196149057275166, acc 0.046463815789473686
Epoch 12: train loss 4.169849872589111, test loss 4.3054633140563965, adv 0.00777563823512889, acc 0.046463815789473686
Epoch 13: train loss 4.196990489959717, test loss 4.305321216583252, adv 0.00777563823512889, acc 0.046463815789473686
Epoch 14: train loss 4.20186710357666, test loss 4.3059563636779785, adv 0.007808989355726548, acc 0.046463815789473686
Epoch 15: train loss 4.2541728019714355, test loss 4.306665897369385, adv -0.00035296602632506335, acc 0.046463815789473686
Epoch 16: train loss 4.239984035491943, test loss 4.308897972106934, adv -0.00035296602632506335, acc 0.046463815789473686
Epoch 17: train loss 4.44397497177124, test loss 4.306486129760742, adv -0.00849649052594137, acc 0.046463815789473686
Epoch 18: train loss 4.244441032409668, test loss 4.30735445022583, adv 0.003855711350146951, acc 0.046463815789473686
Epoch 19: train loss 4.455229759216309, test loss 4.30651330947876, adv -0.008529841646539027, acc 0.046463815789473686
