test
test 2
test 3
model: 0, 2, 16 begin
Epoch 15: train loss 1.6892800331115723, test loss 1.559954047203064, adv 0.037090684133915586, acc 0.5671397379912664
Epoch 16: train loss 1.278978705406189, test loss 1.5374548435211182, adv 0.04008049490538568, acc 0.5653657205240175
Epoch 17: train loss 1.253201961517334, test loss 1.5549746751785278, adv 0.039722343522561765, acc 0.5682314410480349
Epoch 18: train loss 1.3104077577590942, test loss 1.5358710289001465, adv 0.039974017467248935, acc 0.5727347161572053
Epoch 19: train loss 1.2871030569076538, test loss 1.7152358293533325, adv 0.04397379912663757, acc 0.52742903930131
model: 10000, False, 32 begin
Epoch 0: train loss 2.0670223236083984, test loss 1.9737370014190674, adv 0.017886462882096166, acc 0.47393558951965065
Epoch 1: train loss 1.7531375885009766, test loss 1.747069239616394, adv 0.030020524017467243, acc 0.5260644104803494
Epoch 2: train loss 1.5199557542800903, test loss 1.6641041040420532, adv 0.03238893740902471, acc 0.5440775109170306
Epoch 3: train loss 1.055920124053955, test loss 1.6254782676696777, adv 0.028604730713245985, acc 0.5559497816593887
Epoch 4: train loss 1.1941015720367432, test loss 1.5994693040847778, adv 0.027873216885007324, acc 0.5631823144104804
Epoch 5: train loss 1.2578723430633545, test loss 1.520693063735962, adv 0.038573216885007255, acc 0.5751910480349345
Epoch 6: train loss 1.0504966974258423, test loss 1.529497504234314, adv 0.037610116448326014, acc 0.5757368995633187
Epoch 7: train loss 1.0362012386322021, test loss 1.4926413297653198, adv 0.0384876273653566, acc 0.5817412663755459
Epoch 8: train loss 1.0808379650115967, test loss 1.4560972452163696, adv 0.03797882096069871, acc 0.5903384279475983
Epoch 9: train loss 1.334700107574463, test loss 1.4499274492263794, adv 0.047500727802037845, acc 0.5852893013100436
Epoch 10: train loss 1.2254550457000732, test loss 1.4641753435134888, adv 0.041645705967976676, acc 0.5902019650655022
Epoch 11: train loss 1.1603388786315918, test loss 1.4315745830535889, adv 0.045841557496360985, acc 0.5968886462882096
Epoch 12: train loss 1.3115952014923096, test loss 1.40030038356781, adv 0.05009046579330423, acc 0.5992085152838428
Epoch 13: train loss 1.1363776922225952, test loss 1.4155138731002808, adv 0.050741703056768506, acc 0.5968886462882096
Epoch 14: train loss 1.4498233795166016, test loss 1.5482627153396606, adv 0.04718595342066956, acc 0.5672762008733624
Epoch 15: train loss 0.8323264718055725, test loss 1.4936537742614746, adv 0.038883187772925765, acc 0.5865174672489083
Epoch 16: train loss 0.8449106812477112, test loss 1.5053648948669434, adv 0.047380349344978145, acc 0.5825600436681223
Epoch 17: train loss 0.9680755138397217, test loss 1.4376617670059204, adv 0.0502136826783115, acc 0.59757096069869
Epoch 18: train loss 1.320601463317871, test loss 1.4334124326705933, adv 0.05720895196506548, acc 0.59757096069869
Epoch 19: train loss 1.2365124225616455, test loss 1.3856416940689087, adv 0.05461186317321687, acc 0.6082150655021834
model: 10000, 2, 32 begin
Epoch 0: train loss 4.079845905303955, test loss 4.340941429138184, adv 0.009960917030567673, acc 0.06768558951965066
Epoch 1: train loss 4.070184707641602, test loss 4.364234924316406, adv 0.010319432314410515, acc 0.06836790393013101
Epoch 2: train loss 2.7541191577911377, test loss 2.671165704727173, adv 0.007058951965065563, acc 0.33706331877729256
Epoch 3: train loss 2.2963950634002686, test loss 2.8914377689361572, adv 0.00270611353711786, acc 0.3155021834061135
Epoch 4: train loss 3.580498695373535, test loss 2.8914377689361572, adv 0.01636717612809313, acc 0.3155021834061135
Epoch 5: train loss 2.597198247909546, test loss 2.941697835922241, adv 0.0069038573508005685, acc 0.3074508733624454
Epoch 6: train loss 3.192251205444336, test loss 2.9733726978302, adv 0.01200815138282385, acc 0.30322052401746724
Epoch 7: train loss 2.344902276992798, test loss 2.9733726978302, adv 0.004828238719068401, acc 0.30322052401746724
Epoch 8: train loss 2.955990791320801, test loss 2.9733726978302, adv 0.01386048034934495, acc 0.30322052401746724
Epoch 9: train loss 2.7222630977630615, test loss 3.033501148223877, adv 0.010150509461426482, acc 0.294896288209607
Epoch 10: train loss 3.3212485313415527, test loss 3.033501148223877, adv 0.014891193595342078, acc 0.294896288209607
Epoch 11: train loss 2.8165066242218018, test loss 3.033501148223877, adv 0.009583260553129636, acc 0.294896288209607
Epoch 12: train loss 3.0956015586853027, test loss 3.033501148223877, adv 0.01466317321688504, acc 0.294896288209607
Epoch 13: train loss 3.2042741775512695, test loss 3.0150678157806396, adv 0.014249999999999985, acc 0.29516921397379914
Epoch 14: train loss 3.1561012268066406, test loss 3.0150678157806396, adv 0.01379606986899562, acc 0.29516921397379914
Epoch 15: train loss 2.904153823852539, test loss 3.0150678157806396, adv 0.013846360989810735, acc 0.29516921397379914
Epoch 16: train loss 2.9861931800842285, test loss 3.0150678157806396, adv 0.01688558951965069, acc 0.29516921397379914
Epoch 17: train loss 2.7256686687469482, test loss 3.0150678157806396, adv 0.013187991266375543, acc 0.29516921397379914
Epoch 18: train loss 2.4554991722106934, test loss 3.0150678157806396, adv 0.008054002911208169, acc 0.29516921397379914
Epoch 19: train loss 2.896340847015381, test loss 3.0150678157806396, adv 0.0136911935953421, acc 0.29516921397379914
model: 10000, 5, 32 begin
Epoch 0: train loss 1.4691524505615234, test loss 1.9172292947769165, adv 0.02166084425036391, acc 0.49167576419213976
Epoch 1: train loss 2.642307996749878, test loss 2.6429123878479004, adv 0.027847088791848607, acc 0.4253548034934498
Epoch 2: train loss 3.2572319507598877, test loss 2.4424076080322266, adv 0.03770152838427954, acc 0.4406386462882096
Epoch 3: train loss 2.2502429485321045, test loss 2.7326478958129883, adv 0.04836368267831148, acc 0.3975163755458515
Epoch 4: train loss 2.0211074352264404, test loss 2.7091166973114014, adv 0.042684352256186275, acc 0.3917849344978166
Epoch 5: train loss 2.701164722442627, test loss 2.712829351425171, adv 0.03231259097525474, acc 0.43818231441048033
Epoch 6: train loss 3.531090259552002, test loss 2.6622159481048584, adv 0.03805713245997089, acc 0.4158024017467249
Epoch 7: train loss 1.9427298307418823, test loss 2.7831408977508545, adv 0.028748617176128144, acc 0.37254366812227074
Epoch 8: train loss 2.49402117729187, test loss 2.824077844619751, adv 0.022998326055313045, acc 0.3541211790393013
Epoch 9: train loss 1.2778923511505127, test loss 1.8033967018127441, adv 0.027929330422125198, acc 0.5161026200873362
Epoch 10: train loss 1.8730119466781616, test loss 1.9910622835159302, adv 0.023046215429403105, acc 0.5070960698689956
Epoch 11: train loss 2.180140256881714, test loss 2.8263871669769287, adv 0.028258151382823837, acc 0.44637008733624456
Epoch 12: train loss 2.4804539680480957, test loss 3.074955463409424, adv 0.028920087336244515, acc 0.4340884279475983
Epoch 13: train loss 2.8662145137786865, test loss 4.66010046005249, adv 0.035462008733624484, acc 0.3539847161572052
Epoch 14: train loss 4.591217517852783, test loss 4.66010046005249, adv 0.04399745269286748, acc 0.3539847161572052
Epoch 15: train loss 4.290416240692139, test loss 4.66010046005249, adv 0.040867903930131066, acc 0.3539847161572052
Epoch 16: train loss 4.471395492553711, test loss 4.486333847045898, adv 0.04366280931586608, acc 0.3624454148471616
Epoch 17: train loss 3.4389102458953857, test loss 4.243138790130615, adv 0.04142052401746721, acc 0.373089519650655
Epoch 18: train loss 3.5580523014068604, test loss 4.139313220977783, adv 0.038148689956331916, acc 0.3669486899563319
Epoch 19: train loss 4.0058698654174805, test loss 4.0820417404174805, adv 0.0364267831149927, acc 0.37390829694323147
model: 10000, 10, 32 begin
Epoch 0: train loss 1.7307285070419312, test loss 2.0549588203430176, adv 0.02137692867540031, acc 0.451146288209607
Epoch 1: train loss 2.2023568153381348, test loss 2.0117239952087402, adv 0.027079475982532797, acc 0.47489082969432317
Epoch 2: train loss 0.8845036029815674, test loss 1.726698875427246, adv 0.019989446870451233, acc 0.5251091703056768
Epoch 3: train loss 1.5243866443634033, test loss 1.6782488822937012, adv 0.033954294032023324, acc 0.535207423580786
Epoch 4: train loss 1.8549623489379883, test loss 1.605210542678833, adv 0.03623901018922848, acc 0.5510371179039302
Epoch 5: train loss 2.0809543132781982, test loss 1.5747449398040771, adv 0.04105807860262001, acc 0.5706877729257642
Epoch 6: train loss 1.349141001701355, test loss 1.5418447256088257, adv 0.044694759825327446, acc 0.5668668122270742
Epoch 7: train loss 1.104968547821045, test loss 1.5689510107040405, adv 0.04335327510917031, acc 0.5734170305676856
Epoch 8: train loss 1.6121293306350708, test loss 1.4327952861785889, adv 0.05681288209606983, acc 0.5887008733624454
Epoch 9: train loss 1.159188985824585, test loss 1.4369370937347412, adv 0.0623783114992722, acc 0.5945687772925764
Epoch 10: train loss 1.6503227949142456, test loss 1.456038236618042, adv 0.06474112081513828, acc 0.5907478165938864
Epoch 11: train loss 0.8336085081100464, test loss 1.4247322082519531, adv 0.05414788937409032, acc 0.5974344978165939
Epoch 12: train loss 0.950050950050354, test loss 1.4171853065490723, adv 0.05333755458515277, acc 0.6048034934497817
Epoch 13: train loss 2.318600654602051, test loss 2.0742409229278564, adv 0.033644832605531305, acc 0.521424672489083
Epoch 14: train loss 0.8348749876022339, test loss 1.690176010131836, adv 0.05687605531295492, acc 0.5574508733624454
Epoch 15: train loss 1.270660638809204, test loss 1.41761314868927, adv 0.05630320232896657, acc 0.6028930131004366
Epoch 16: train loss 0.7102304100990295, test loss 1.4065513610839844, adv 0.054310698689956305, acc 0.6065775109170306
Epoch 17: train loss 1.140712022781372, test loss 1.4258044958114624, adv 0.06355975254730717, acc 0.6090338427947598
Epoch 18: train loss 0.7750025391578674, test loss 1.4461941719055176, adv 0.0589620815138282, acc 0.6045305676855895
Epoch 19: train loss 1.425687313079834, test loss 1.4024993181228638, adv 0.07022721979621549, acc 0.6069868995633187
model: 50000, False, 32 begin
Epoch 0: train loss 2.284402847290039, test loss 2.054248332977295, adv 0.03437263464337692, acc 0.46315502183406115
Epoch 1: train loss 2.000704050064087, test loss 2.065406560897827, adv 0.021546870451237266, acc 0.4488264192139738
Epoch 2: train loss 1.5688438415527344, test loss 1.977262020111084, adv 0.026646360989810824, acc 0.48662663755458513
Epoch 3: train loss 1.9196821451187134, test loss 1.9618271589279175, adv 0.02008122270742363, acc 0.4773471615720524
Epoch 4: train loss 1.3590927124023438, test loss 1.845121145248413, adv 0.026562736535662268, acc 0.5032751091703057
Epoch 5: train loss 1.2050087451934814, test loss 1.727356195449829, adv 0.03382023289665209, acc 0.5154203056768559
Epoch 6: train loss 1.8117480278015137, test loss 1.6111576557159424, adv 0.041137409024745275, acc 0.5582696506550219
Epoch 7: train loss 1.44119393825531, test loss 1.5671465396881104, adv 0.034527001455604056, acc 0.5618176855895196
Epoch 8: train loss 1.364783525466919, test loss 1.5098155736923218, adv 0.043409170305676814, acc 0.56632096069869
Epoch 9: train loss 0.9628172516822815, test loss 1.4552206993103027, adv 0.04453857350800583, acc 0.5858351528384279
Epoch 10: train loss 0.9816572666168213, test loss 1.4049628973007202, adv 0.04224927219796215, acc 0.6033024017467249
Epoch 11: train loss 0.9440815448760986, test loss 1.387412667274475, adv 0.06003027656477444, acc 0.5938864628820961
Epoch 12: train loss 1.129327416419983, test loss 1.3791961669921875, adv 0.057780713245997095, acc 0.5992085152838428
Epoch 13: train loss 1.0533452033996582, test loss 1.3885828256607056, adv 0.06160494905385738, acc 0.6108078602620087
Epoch 14: train loss 1.156991958618164, test loss 1.5485166311264038, adv 0.06396433770014553, acc 0.5779203056768559
Epoch 15: train loss 0.8699449896812439, test loss 1.378528356552124, adv 0.05629352256186326, acc 0.6128548034934498
Epoch 16: train loss 1.240058422088623, test loss 1.4101529121398926, adv 0.06658071324599713, acc 0.605349344978166
Epoch 17: train loss 1.5085777044296265, test loss 1.533761739730835, adv 0.0716133187772926, acc 0.5874727074235808
Epoch 18: train loss 1.1880000829696655, test loss 1.3533536195755005, adv 0.0760860989810771, acc 0.6187227074235808
Epoch 19: train loss 1.062314510345459, test loss 1.4353440999984741, adv 0.07289301310043661, acc 0.615311135371179
model: 50000, 2, 32 begin
Epoch 0: train loss 1.6419410705566406, test loss 2.348299264907837, adv 0.021798908296943198, acc 0.4119814410480349
Epoch 1: train loss 2.1695587635040283, test loss 2.5021538734436035, adv 0.023946870451237223, acc 0.39506004366812225
Epoch 2: train loss 1.8556724786758423, test loss 2.1601109504699707, adv 0.021370960698689934, acc 0.45182860262008734
Epoch 3: train loss 2.116011381149292, test loss 2.6016271114349365, adv 0.022324963609898107, acc 0.42508187772925765
Epoch 4: train loss 2.47039794921875, test loss 2.695844888687134, adv 0.030723071324599727, acc 0.43777292576419213
Epoch 5: train loss 1.3335421085357666, test loss 2.6917612552642822, adv 0.016267321688500702, acc 0.4054312227074236
Epoch 6: train loss 2.7707114219665527, test loss 2.8203563690185547, adv 0.030336244541484647, acc 0.38155021834061137
Epoch 7: train loss 2.0918827056884766, test loss 2.767889976501465, adv 0.024019796215429434, acc 0.39014737991266374
Epoch 8: train loss 3.0290400981903076, test loss 2.6318485736846924, adv 0.02938340611353707, acc 0.4325873362445415
Epoch 9: train loss 1.532728672027588, test loss 2.653360605239868, adv 0.022323362445414885, acc 0.42862991266375544
Epoch 10: train loss 2.1784448623657227, test loss 2.8661248683929443, adv 0.02458558951965062, acc 0.39082969432314413
Epoch 11: train loss 2.554936408996582, test loss 2.919619560241699, adv 0.027084497816593833, acc 0.38332423580786024
Epoch 12: train loss 2.8533663749694824, test loss 2.836930990219116, adv 0.027319505094614338, acc 0.386735807860262
Epoch 13: train loss 2.005321741104126, test loss 2.8105673789978027, adv 0.025135298398835437, acc 0.3844159388646288
Epoch 14: train loss 2.5468952655792236, test loss 2.745131731033325, adv 0.026253857350800547, acc 0.37554585152838427
Epoch 15: train loss 2.49811053276062, test loss 2.745131731033325, adv 0.025928020378457095, acc 0.37554585152838427
Epoch 16: train loss 2.07565975189209, test loss 2.6208815574645996, adv 0.02356397379912667, acc 0.38114082969432317
Epoch 17: train loss 2.4853527545928955, test loss 2.5902607440948486, adv 0.02473828238719067, acc 0.3913755458515284
Epoch 18: train loss 3.2769968509674072, test loss 2.548353672027588, adv 0.023555676855895102, acc 0.4054312227074236
Epoch 19: train loss 1.8326023817062378, test loss 2.4325339794158936, adv 0.014989446870451228, acc 0.44459606986899564
model: 50000, 5, 32 begin
Epoch 0: train loss 1.5135725736618042, test loss 1.7823419570922852, adv 0.029743740902474558, acc 0.5139192139737991
Epoch 1: train loss 1.8127096891403198, test loss 1.626383900642395, adv 0.037035662299854444, acc 0.5506277292576419
Epoch 2: train loss 1.776957631111145, test loss 1.5629688501358032, adv 0.0405040756914119, acc 0.5657751091703057
Epoch 3: train loss 2.0081706047058105, test loss 1.5255520343780518, adv 0.05019563318777298, acc 0.5751910480349345
Epoch 4: train loss 1.1522867679595947, test loss 1.4848105907440186, adv 0.04279723435225624, acc 0.5851528384279476
Epoch 5: train loss 1.1524149179458618, test loss 1.5314913988113403, adv 0.04927983988355167, acc 0.5634552401746725
Epoch 6: train loss 1.1369106769561768, test loss 1.4076753854751587, adv 0.05932212518195046, acc 0.5949781659388647
Epoch 7: train loss 0.8992425799369812, test loss 1.3857930898666382, adv 0.050232751091703, acc 0.605349344978166
Epoch 8: train loss 1.1287593841552734, test loss 1.3856972455978394, adv 0.05750625909752549, acc 0.6001637554585153
Epoch 9: train loss 1.867146611213684, test loss 1.3578810691833496, adv 0.05741593886462881, acc 0.6071233624454149
Epoch 10: train loss 1.031628131866455, test loss 1.341172695159912, adv 0.06428180494905378, acc 0.6161299126637555
Epoch 11: train loss 1.0174480676651, test loss 1.3221535682678223, adv 0.07275298398835517, acc 0.613400655021834
Epoch 12: train loss 0.7403175830841064, test loss 1.3501887321472168, adv 0.06876084425036388, acc 0.6226801310043668
Epoch 13: train loss 0.9561377167701721, test loss 1.4670581817626953, adv 0.0718598253275109, acc 0.6031659388646288
Epoch 14: train loss 1.3280175924301147, test loss 1.3971647024154663, adv 0.07717496360989817, acc 0.6179039301310044
Epoch 15: train loss 0.8815008401870728, test loss 1.3526877164840698, adv 0.07633449781659385, acc 0.6243176855895196
Epoch 16: train loss 0.6860176920890808, test loss 1.50419282913208, adv 0.07447023289665211, acc 0.6026200873362445
Epoch 17: train loss 1.2515898942947388, test loss 1.3745238780975342, adv 0.08314643377001463, acc 0.6177674672489083
Epoch 18: train loss 0.8042820692062378, test loss 1.436765432357788, adv 0.08001404657933042, acc 0.6144923580786026
Epoch 19: train loss 0.6203876733779907, test loss 1.3761674165725708, adv 0.07263457059679768, acc 0.6192685589519651
model: 50000, 10, 32 begin
Epoch 0: train loss 1.8464633226394653, test loss 1.6739544868469238, adv 0.039689737991266405, acc 0.5408024017467249
Epoch 1: train loss 1.7028077840805054, test loss 1.4988776445388794, adv 0.045157423580786005, acc 0.5675491266375546
Epoch 2: train loss 1.6243480443954468, test loss 1.39888596534729, adv 0.05407481804949055, acc 0.6018013100436681
Epoch 3: train loss 1.1199078559875488, test loss 1.373010277748108, adv 0.060913027656477436, acc 0.6056222707423581
Epoch 4: train loss 1.127731204032898, test loss 1.347324013710022, adv 0.05786557496360989, acc 0.6180403930131004
Epoch 5: train loss 1.348872423171997, test loss 1.3188788890838623, adv 0.07263959243085882, acc 0.6154475982532751
Epoch 6: train loss 1.0731498003005981, test loss 1.3348448276519775, adv 0.07563558951965066, acc 0.615174672489083
Epoch 7: train loss 1.197126030921936, test loss 1.329106092453003, adv 0.08710225618631728, acc 0.6206331877729258
Epoch 8: train loss 1.3630295991897583, test loss 1.3133938312530518, adv 0.08768879184861722, acc 0.6181768558951966
Epoch 9: train loss 0.672825813293457, test loss 1.3520623445510864, adv 0.07818064046579332, acc 0.6149017467248908
Epoch 10: train loss 1.26188063621521, test loss 1.542823076248169, adv 0.08979483260553134, acc 0.6019377729257642
Epoch 11: train loss 3.1347553730010986, test loss 3.163137197494507, adv 0.06283318777292579, acc 0.4949508733624454
Epoch 12: train loss 1.1050795316696167, test loss 1.498806357383728, adv 0.09524541484716154, acc 0.6213155021834061
Epoch 13: train loss 0.8743239641189575, test loss 1.612365484237671, adv 0.09122270742358085, acc 0.6136735807860262
Epoch 14: train loss 1.1546826362609863, test loss 1.5262733697891235, adv 0.09524767103347886, acc 0.6158569868995634
Epoch 15: train loss 0.47982916235923767, test loss 1.5517387390136719, adv 0.07565669577874823, acc 0.6079421397379913
Epoch 16: train loss 0.5624487400054932, test loss 1.504409670829773, adv 0.07467125181950518, acc 0.6094432314410481
Epoch 17: train loss 1.360036849975586, test loss 1.613152027130127, adv 0.09913944687045118, acc 0.6005731441048034
Epoch 18: train loss 1.7096549272537231, test loss 1.7624307870864868, adv 0.08474592430858807, acc 0.6020742358078602
Epoch 19: train loss 1.1597570180892944, test loss 1.4697915315628052, adv 0.1166096069868996, acc 0.597707423580786
model: 100000, False, 32 begin
Epoch 0: train loss 1.677785038948059, test loss 1.7806158065795898, adv 0.02534272197962162, acc 0.5170578602620087
Epoch 1: train loss 1.3785592317581177, test loss 1.6328141689300537, adv 0.029894032023289663, acc 0.550900655021834
Epoch 2: train loss 1.1430028676986694, test loss 1.761762261390686, adv 0.04258500727802028, acc 0.5226528384279476
Epoch 3: train loss 1.6645342111587524, test loss 2.5673069953918457, adv 0.03740647743813674, acc 0.46629366812227074
Epoch 4: train loss 1.327796220779419, test loss 1.6693952083587646, adv 0.039735298398835495, acc 0.5627729257641921
Epoch 5: train loss 1.4293009042739868, test loss 1.5472967624664307, adv 0.043281950509461375, acc 0.5731441048034934
Epoch 6: train loss 1.5018880367279053, test loss 1.4626816511154175, adv 0.049698180494905375, acc 0.5917030567685589
Epoch 7: train loss 0.9141144156455994, test loss 1.4489493370056152, adv 0.045956841339155785, acc 0.5882914847161572
Epoch 8: train loss 1.3783475160598755, test loss 1.4013301134109497, adv 0.05642882096069868, acc 0.5955240174672489
Epoch 9: train loss 1.1870355606079102, test loss 1.3719754219055176, adv 0.0572947598253275, acc 0.6020742358078602
Epoch 10: train loss 1.2331894636154175, test loss 1.4621549844741821, adv 0.06225291120815135, acc 0.5955240174672489
Epoch 11: train loss 0.7833561897277832, test loss 1.3313438892364502, adv 0.05802845705967985, acc 0.6157205240174672
Epoch 12: train loss 0.8101356625556946, test loss 1.3648432493209839, adv 0.06664199417758365, acc 0.6129912663755459
Epoch 13: train loss 1.1879336833953857, test loss 1.4105923175811768, adv 0.07295036390101894, acc 0.6031659388646288
Epoch 14: train loss 1.328585147857666, test loss 1.3333253860473633, adv 0.08443813682678314, acc 0.6206331877729258
Epoch 15: train loss 1.1231637001037598, test loss 1.3780872821807861, adv 0.09426411935953416, acc 0.6056222707423581
Epoch 16: train loss 1.2652045488357544, test loss 1.3073967695236206, adv 0.0997208879184861, acc 0.6243176855895196
Epoch 17: train loss 1.2175688743591309, test loss 1.305721640586853, adv 0.10521462882096067, acc 0.6230895196506551
Epoch 18: train loss 0.9856410026550293, test loss 1.300181269645691, adv 0.10505596797671035, acc 0.6255458515283843
Epoch 19: train loss 0.8894557356834412, test loss 1.3279383182525635, adv 0.10394104803493454, acc 0.613264192139738
model: 100000, 2, 32 begin
Epoch 0: train loss 2.9081387519836426, test loss 2.845878839492798, adv 0.016106113537117883, acc 0.3161844978165939
Epoch 1: train loss 2.6218323707580566, test loss 2.845878839492798, adv 0.010287772925764216, acc 0.3161844978165939
Epoch 2: train loss 2.902961015701294, test loss 2.860222101211548, adv 0.015701018922852916, acc 0.3159115720524017
Epoch 3: train loss 2.2787818908691406, test loss 2.8320600986480713, adv 0.0063617903930131, acc 0.31986899563318777
Epoch 4: train loss 2.9835662841796875, test loss 2.782707452774048, adv 0.020819286754002908, acc 0.322325327510917
Epoch 5: train loss 2.5506389141082764, test loss 2.754279851913452, adv 0.009465502183406138, acc 0.3227347161572052
Epoch 6: train loss 2.3907039165496826, test loss 2.678847551345825, adv 0.01337088791848623, acc 0.34375
Epoch 7: train loss 2.105419635772705, test loss 2.387652635574341, adv 0.016154512372634655, acc 0.3939683406113537
Epoch 8: train loss 2.2958223819732666, test loss 2.317775011062622, adv 0.009931513828238758, acc 0.4188045851528384
Epoch 9: train loss 2.5905628204345703, test loss 2.482860565185547, adv 0.021802328966521123, acc 0.4017467248908297
Epoch 10: train loss 1.8845642805099487, test loss 2.57742977142334, adv 0.011148180494905346, acc 0.41020742358078605
Epoch 11: train loss 2.6254312992095947, test loss 2.554035186767578, adv 0.024760625909752476, acc 0.40024563318777295
Epoch 12: train loss 2.574214220046997, test loss 2.519636631011963, adv 0.023507641921397426, acc 0.38837336244541487
Epoch 13: train loss 2.1305649280548096, test loss 2.4715240001678467, adv 0.023853202328966483, acc 0.40652292576419213
Epoch 14: train loss 2.0331571102142334, test loss 2.544787883758545, adv 0.02324657933042218, acc 0.39287663755458513
Epoch 15: train loss 2.7862069606781006, test loss 2.544787883758545, adv 0.027384570596797664, acc 0.39287663755458513
Epoch 16: train loss 2.9075632095336914, test loss 2.5888350009918213, adv 0.02869061135371176, acc 0.3795032751091703
Epoch 17: train loss 2.2930331230163574, test loss 2.6543538570404053, adv 0.02826586608442505, acc 0.36681222707423583
Epoch 18: train loss 2.9468135833740234, test loss 2.6543538570404053, adv 0.027601237263464418, acc 0.36681222707423583
Epoch 19: train loss 2.8871686458587646, test loss 2.6543538570404053, adv 0.026194177583697242, acc 0.36681222707423583
model: 100000, 5, 32 begin
Epoch 0: train loss 1.3271633386611938, test loss 1.6150227785110474, adv 0.027276637554585093, acc 0.5483078602620087
Epoch 1: train loss 1.2016894817352295, test loss 1.4482760429382324, adv 0.038466812227074265, acc 0.587882096069869
Epoch 2: train loss 1.680641770362854, test loss 1.4052842855453491, adv 0.052013755458515276, acc 0.6088973799126638
Epoch 3: train loss 1.684457778930664, test loss 1.5767481327056885, adv 0.046571470160116424, acc 0.5978438864628821
Epoch 4: train loss 1.1345120668411255, test loss 1.3682962656021118, adv 0.055254221251819446, acc 0.621042576419214
Epoch 5: train loss 1.2208304405212402, test loss 1.3543375730514526, adv 0.06485152838427954, acc 0.6144923580786026
Epoch 6: train loss 1.0722737312316895, test loss 1.3116484880447388, adv 0.07279985443959247, acc 0.6284115720524017
Epoch 7: train loss 0.8919165134429932, test loss 1.3290656805038452, adv 0.08081644832605539, acc 0.6146288209606987
Epoch 8: train loss 1.0749859809875488, test loss 1.3588985204696655, adv 0.08886360989810771, acc 0.6139465065502183
Epoch 9: train loss 1.0209146738052368, test loss 1.357846975326538, adv 0.09061950509461425, acc 0.6149017467248908
Epoch 10: train loss 1.1954572200775146, test loss 1.3011208772659302, adv 0.09245000000000003, acc 0.6256823144104804
Epoch 11: train loss 0.7655516266822815, test loss 1.3860396146774292, adv 0.09556310043668126, acc 0.6207696506550219
Epoch 12: train loss 0.687006413936615, test loss 1.3225864171981812, adv 0.10290887918486169, acc 0.6267740174672489
Epoch 13: train loss 0.7977250814437866, test loss 1.322121024131775, adv 0.10274053857350796, acc 0.6129912663755459
Epoch 14: train loss 0.9385945200920105, test loss 1.4390860795974731, adv 0.12181259097525476, acc 0.6195414847161572
Epoch 15: train loss 0.7262611389160156, test loss 1.3055148124694824, adv 0.10989461426491987, acc 0.6244541484716157
Epoch 16: train loss 0.6776626110076904, test loss 1.356520652770996, adv 0.11434577874818053, acc 0.6225436681222707
Epoch 17: train loss 0.8424318432807922, test loss 1.5405381917953491, adv 0.1476029112081514, acc 0.6170851528384279
Epoch 18: train loss 0.9687545895576477, test loss 1.5396854877471924, adv 0.13570545851528382, acc 0.6129912663755459
Epoch 19: train loss 0.6368957161903381, test loss 1.343915581703186, adv 0.136019577874818, acc 0.6285480349344978
model: 100000, 10, 32 begin
Epoch 0: train loss 1.7806428670883179, test loss 1.636283278465271, adv 0.04755684133915583, acc 0.5424399563318777
Epoch 1: train loss 1.1575759649276733, test loss 1.418527364730835, adv 0.050376200873362365, acc 0.5914301310043668
Epoch 2: train loss 1.040007472038269, test loss 1.4093215465545654, adv 0.05646091703056766, acc 0.5972980349344978
Epoch 3: train loss 1.350635051727295, test loss 1.325963020324707, adv 0.06143136826783113, acc 0.61735807860262
Epoch 4: train loss 0.804722785949707, test loss 1.3996561765670776, adv 0.06554206695778741, acc 0.607532751091703
Epoch 5: train loss 1.3998138904571533, test loss 1.261773705482483, adv 0.08215727802037842, acc 0.631004366812227
Epoch 6: train loss 0.6612518429756165, test loss 1.438572645187378, adv 0.07111368267831142, acc 0.6124454148471615
Epoch 7: train loss 0.8104287385940552, test loss 1.4174766540527344, adv 0.07935225618631736, acc 0.6168122270742358
Epoch 8: train loss 1.4844025373458862, test loss 1.7904859781265259, adv 0.08401950509461431, acc 0.5933406113537117
Epoch 9: train loss 0.9294958710670471, test loss 1.6429284811019897, adv 0.08222532751091705, acc 0.5941593886462883
Epoch 10: train loss 1.063542127609253, test loss 1.5225600004196167, adv 0.08752700145560399, acc 0.6188591703056768
Epoch 11: train loss 1.1379824876785278, test loss 1.3994580507278442, adv 0.0932163755458515, acc 0.6219978165938864
Epoch 12: train loss 0.6853422522544861, test loss 1.3404152393341064, adv 0.07635800582241625, acc 0.6251364628820961
Epoch 13: train loss 0.9389833807945251, test loss 1.3261815309524536, adv 0.12205363901018929, acc 0.6200873362445415
Epoch 14: train loss 0.9041804075241089, test loss 1.5158442258834839, adv 0.11787598253275111, acc 0.6080786026200873
Epoch 15: train loss 0.813483715057373, test loss 1.3592219352722168, adv 0.11716870451237271, acc 0.62117903930131
Epoch 16: train loss 0.8025499582290649, test loss 1.557504415512085, adv 0.13377278020378458, acc 0.6218613537117904
Epoch 17: train loss 0.5990596413612366, test loss 1.4241728782653809, adv 0.15021360989810773, acc 0.6181768558951966
Epoch 18: train loss 0.7327452898025513, test loss 1.358583688735962, adv 0.1505334788937409, acc 0.628957423580786
Epoch 19: train loss 0.5237922668457031, test loss 1.4844598770141602, adv 0.1509775109170306, acc 0.6195414847161572
model: 0, False, 64 begin
